model,train_precision,train_recall,train_f1,test_precision,test_recall,test_f1,tree_depth,leaves_count
raw_tree_model,1.0,1.0,1.0,0.8842620943049602,0.8788800973828362,0.8815628815628815,37,1205
controlled_tree_model,0.9593056894889104,0.7570776255707763,0.8462781794980859,0.944996180290298,0.7528910529519173,0.8380758807588076,10,70
