model,train_precision,train_recall,train_f1,test_precision,test_recall,test_f1
controlled_forest_model,0.9936974789915967,0.7199391171993912,0.8349514563106796,0.9908637873754153,0.7261107729762629,0.8380751668422901
stronger_forest_model,0.9880668257756563,0.7561643835616438,0.8566994309363684,0.9739952718676123,0.7522824102251978,0.8489010989010989
